frame,x_0,x_1,x_10,x_11,x_12,x_13,x_14,x_15,x_16,x_17,x_18,x_19,x_2,x_20,x_21,x_22,x_23,x_24,x_25,x_26,x_27,x_28,x_29,x_3,x_30,x_31,x_32,x_33,x_34,x_35,x_4,x_5,x_6,x_7,x_8,x_9,y_0,y_1,y_10,y_11,y_12,y_13,y_14,y_15,y_16,y_17,y_18,y_19,y_2,y_20,y_21,y_22,y_23,y_24,y_25,y_26,y_27,y_28,y_29,y_3,y_30,y_31,y_32,y_33,y_34,y_35,y_4,y_5,y_6,y_7,y_8,y_9
1,902.0,885.0,954.0,898.0,895.0,1086.0,963.0,971.0,928.0,860.0,925.0,792.0,757.0,966.0,,,,,,,,,,703.0,,,,,,,626.0,995.0,1048.0,1086.0,833.0,910.0,702.0,734.0,1306.0,1149.0,1394.0,1633.0,966.0,1153.0,1205.0,676.0,666.0,639.0,771.0,581.0,,,,,,,,,,928.0,,,,,,,1037.0,700.0,807.0,913.0,998.0,1182.0
2,902.0,885.0,954.0,955.0,898.0,895.0,1086.0,963.0,970.0,928.0,860.0,925.0,757.0,792.0,965.0,,,,,,,,,702.0,,,,,,,626.0,996.0,1048.0,1086.0,833.0,911.0,702.0,734.0,1307.0,1308.0,1149.0,1394.0,1633.0,966.0,1153.0,1206.0,676.0,667.0,771.0,639.0,581.0,,,,,,,,,928.0,,,,,,,1037.0,700.0,808.0,913.0,998.0,1182.0
3,861.0,867.0,853.0,952.0,967.0,932.0,827.0,891.0,768.0,931.0,,,746.0,,,,,,,,,,,681.0,,,,,,,614.0,977.0,1034.0,1066.0,832.0,876.0,698.0,737.0,1283.0,976.0,1172.0,1261.0,677.0,671.0,638.0,607.0,,,774.0,,,,,,,,,,,938.0,,,,,,,1046.0,708.0,818.0,923.0,1007.0,1144.0
4,878.0,849.0,870.0,925.0,966.0,919.0,841.0,896.0,769.0,928.0,,,731.0,,,,,,,,,,,670.0,,,,,,,616.0,965.0,1002.0,1048.0,810.0,861.0,724.0,734.0,1252.0,961.0,1157.0,1225.0,694.0,683.0,660.0,612.0,,,780.0,,,,,,,,,,,929.0,,,,,,,1048.0,701.0,802.0,905.0,990.0,1138.0
5,878.0,849.0,861.0,870.0,925.0,966.0,919.0,840.0,897.0,769.0,928.0,,731.0,,,,,,,,,,,670.0,,,,,,,616.0,965.0,1002.0,1003.0,1048.0,810.0,723.0,734.0,1138.0,1252.0,960.0,1157.0,1225.0,693.0,682.0,660.0,611.0,,780.0,,,,,,,,,,,929.0,,,,,,,1048.0,701.0,801.0,802.0,905.0,990.0
6,878.0,849.0,869.0,926.0,966.0,921.0,841.0,897.0,769.0,928.0,,,732.0,,,,,,,,,,,670.0,,,,,,,617.0,965.0,1003.0,1048.0,810.0,862.0,723.0,734.0,1255.0,962.0,1158.0,1225.0,692.0,682.0,658.0,609.0,,,779.0,,,,,,,,,,,928.0,,,,,,,1048.0,702.0,803.0,905.0,991.0,1141.0
7,878.0,849.0,869.0,926.0,966.0,920.0,841.0,897.0,769.0,929.0,,,732.0,,,,,,,,,,,670.0,,,,,,,617.0,965.0,1003.0,1048.0,810.0,862.0,723.0,734.0,1255.0,962.0,1158.0,1226.0,692.0,682.0,658.0,610.0,,,779.0,,,,,,,,,,,928.0,,,,,,,1047.0,702.0,803.0,905.0,991.0,1141.0
8,837.0,820.0,873.0,899.0,934.0,948.0,801.0,860.0,744.0,902.0,,,705.0,,,,,,,,,,,649.0,,,,,,,615.0,924.0,975.0,1030.0,782.0,835.0,726.0,750.0,1214.0,959.0,1099.0,1208.0,693.0,683.0,671.0,613.0,,,796.0,,,,,,,,,,,928.0,,,,,,,1047.0,715.0,812.0,917.0,996.0,1117.0
9,837.0,820.0,873.0,874.0,899.0,933.0,948.0,801.0,860.0,744.0,902.0,,705.0,,,,,,,,,,,649.0,,,,,,,615.0,924.0,975.0,1030.0,782.0,835.0,726.0,750.0,1213.0,1214.0,959.0,1098.0,1208.0,693.0,682.0,671.0,613.0,,796.0,,,,,,,,,,,927.0,,,,,,,1047.0,714.0,812.0,916.0,995.0,1116.0
10,820.0,806.0,850.0,877.0,910.0,891.0,781.0,842.0,732.0,889.0,,,692.0,,,,,,,,,,,629.0,,,,,,,612.0,903.0,964.0,1020.0,763.0,835.0,739.0,758.0,1212.0,973.0,1108.0,1190.0,709.0,698.0,680.0,636.0,,,797.0,,,,,,,,,,,936.0,,,,,,,1062.0,732.0,813.0,911.0,1009.0,1135.0
11,820.0,806.0,850.0,851.0,877.0,910.0,891.0,781.0,842.0,732.0,889.0,,692.0,,,,,,,,,,,629.0,,,,,,,612.0,903.0,964.0,1020.0,763.0,835.0,739.0,758.0,1212.0,1213.0,973.0,1108.0,1190.0,709.0,698.0,680.0,636.0,,797.0,,,,,,,,,,,936.0,,,,,,,1062.0,732.0,813.0,911.0,1009.0,1135.0
12,787.0,783.0,858.0,861.0,895.0,898.0,754.0,817.0,700.0,858.0,,,678.0,,,,,,,,,,,616.0,,,,,,,608.0,895.0,962.0,1016.0,754.0,821.0,752.0,773.0,1183.0,975.0,1088.0,1169.0,732.0,722.0,700.0,661.0,,,814.0,,,,,,,,,,,944.0,,,,,,,1064.0,743.0,821.0,912.0,1011.0,1101.0
13,787.0,783.0,857.0,861.0,895.0,898.0,754.0,818.0,700.0,858.0,,,678.0,,,,,,,,,,,616.0,,,,,,,608.0,895.0,963.0,1016.0,753.0,821.0,752.0,773.0,1183.0,975.0,1088.0,1169.0,733.0,722.0,700.0,661.0,,,814.0,,,,,,,,,,,944.0,,,,,,,1064.0,743.0,821.0,912.0,1011.0,1102.0
